Date,Open,High,Low,Close
10/12/2021,"3,102.29","3,112.05","3,088.70","3,112.05"
10/11/2021,"3,118.57","3,124.62","3,110.39","3,113.49"
10/08/2021,"3,110.82","3,112.81","3,112.81","3,112.81"
10/07/2021,"3,099.99","3,118.52","3,098.81","3,101.15"
10/06/2021,"3,082.58","3,091.35","3,066.38","3,083.88"
10/05/2021,"3,071.93","3,071.93","3,047.38","3,068.12"
10/04/2021,"3,079.99","3,102.47","3,079.62","3,089.65"
10/01/2021,"3,051.11","3,076.88","3,044.73","3,051.11"
09/30/2021,"3,090.32","3,086.70","3,086.70","3,086.70"
09/29/2021,"3,080.88","3,074.31","3,074.31","3,074.31"
09/28/2021,"3,085.44","3,098.58","3,074.70","3,077.69"
09/27/2021,"3,100.30","3,106.55","3,069.32","3,100.30"
09/24/2021,"3,089.32","3,061.35","3,061.35","3,061.35"
09/23/2021,"3,076.44","3,092.22","3,057.36","3,076.44"
09/22/2021,"3,048.05","3,058.68","3,037.79","3,048.05"
09/21/2021,"3,039.96","3,069.56","3,038.04","3,063.20"
09/20/2021,"3,041.73","3,075.46","3,038.15","3,041.73"
09/17/2021,"3,071.23","3,071.23","3,054.60","3,071.23"
09/16/2021,"3,065.22","3,064.54","3,064.54","3,064.54"
09/15/2021,"3,058.61","3,071.22","3,052.78","3,058.61"
09/14/2021,"3,087.07","3,080.37","3,080.37","3,080.37"
09/13/2021,"3,074.31","3,093.59","3,063.55","3,074.31"
09/10/2021,"3,085.62","3,098.80","3,098.80","3,098.80"
09/09/2021,"3,071.70","3,082.68","3,060.05","3,071.70"
09/08/2021,"3,092.78","3,068.94","3,068.94","3,068.94"
09/07/2021,"3,108.53","3,108.53","3,084.41","3,108.53"
09/06/2021,"3,079.15","3,101.08","3,101.08","3,101.08"
09/03/2021,"3,089.94","3,093.62","3,076.03","3,083.85"
09/02/2021,"3,093.46","3,088.84","3,088.84","3,088.84"
09/01/2021,"3,087.84","3,093.42","3,055.01","3,087.84"
08/31/2021,"3,088.23","3,055.05","3,055.05","3,055.05"
08/30/2021,"3,092.00","3,102.11","3,102.11","3,102.11"
08/27/2021,"3,089.91","3,080.77","3,080.77","3,080.77"
08/26/2021,"3,114.60","3,109.42","3,109.42","3,109.42"
08/25/2021,"3,121.36","3,107.49","3,107.49","3,107.49"
08/24/2021,"3,105.24","3,107.62","3,107.62","3,107.62"
08/23/2021,"3,087.56","3,118.08","3,087.16","3,087.56"
08/20/2021,"3,106.84","3,102.75","3,102.75","3,102.75"
08/19/2021,"3,110.38","3,086.97","3,086.97","3,086.97"
08/18/2021,"3,117.28","3,158.25","3,116.56","3,131.44"
08/17/2021,"3,138.58","3,118.51","3,118.51","3,118.51"
08/16/2021,"3,139.23","3,145.52","3,145.52","3,145.52"
08/13/2021,"3,167.03","3,165.49","3,165.49","3,165.49"
08/12/2021,"3,190.23","3,182.80","3,182.80","3,182.80"
08/11/2021,"3,204.76","3,180.00","3,180.00","3,180.00"
08/10/2021,"3,187.53","3,207.36","3,207.36","3,207.36"
08/06/2021,"3,175.00","3,183.12","3,167.49","3,177.18"
08/05/2021,"3,186.65","3,175.10","3,175.10","3,175.10"
08/04/2021,"3,154.60","3,182.90","3,182.90","3,182.90"
08/03/2021,"3,149.25","3,154.21","3,126.18","3,149.25"
08/02/2021,"3,176.42","3,161.22","3,161.22","3,161.22"
07/30/2021,"3,169.75","3,166.94","3,166.94","3,166.94"
07/29/2021,"3,166.52","3,180.61","3,180.61","3,180.61"
07/28/2021,"3,150.87","3,141.75","3,141.75","3,141.75"
07/27/2021,"3,149.70","3,138.81","3,138.81","3,138.81"
07/26/2021,"3,138.97","3,160.44","3,127.78","3,138.97"
07/23/2021,"3,161.22","3,157.05","3,157.05","3,157.05"
07/22/2021,"3,133.05","3,159.26","3,159.26","3,159.26"
07/21/2021,"3,124.99","3,119.00","3,119.00","3,119.00"
07/19/2021,"3,114.76","3,128.08","3,109.28","3,111.20"
07/16/2021,"3,138.25","3,152.30","3,152.30","3,152.30"
07/15/2021,"3,152.13","3,139.98","3,139.98","3,139.98"
07/14/2021,"3,165.58","3,153.15","3,153.15","3,153.15"
07/13/2021,"3,170.39","3,166.81","3,166.81","3,166.81"
07/12/2021,"3,147.14","3,161.21","3,135.19","3,147.14"
07/09/2021,"3,097.56","3,131.40","3,131.40","3,131.40"
07/08/2021,"3,140.07","3,107.59","3,107.59","3,107.59"
07/07/2021,"3,174.89","3,141.60","3,141.60","3,141.60"
07/06/2021,"3,147.82","3,195.25","3,147.77","3,190.59"
07/05/2021,"3,126.62","3,141.02","3,141.02","3,141.02"
07/02/2021,"3,139.55","3,128.95","3,128.95","3,128.95"
07/01/2021,"3,124.19","3,147.88","3,123.48","3,124.19"
06/30/2021,"3,101.50","3,130.46","3,130.46","3,130.46"
06/29/2021,"3,120.44","3,089.49","3,089.49","3,089.49"
06/28/2021,"3,133.87","3,126.88","3,126.88","3,126.88"
06/25/2021,"3,128.80","3,121.60","3,121.60","3,121.60"
06/24/2021,"3,119.91","3,119.62","3,119.62","3,119.62"
06/23/2021,"3,116.71","3,118.62","3,118.62","3,118.62"
06/22/2021,"3,125.71","3,109.20","3,109.20","3,109.20"
06/21/2021,"3,113.45","3,117.87","3,117.87","3,117.87"
06/18/2021,"3,129.34","3,144.16","3,125.67","3,144.16"
06/17/2021,"3,128.61","3,138.31","3,138.31","3,138.31"
06/16/2021,"3,173.72","3,174.79","3,139.57","3,139.57"
06/15/2021,"3,174.87","3,182.75","3,159.20","3,174.87"
06/14/2021,"3,153.14","3,160.35","3,149.94","3,153.14"
06/11/2021,"3,157.97","3,172.57","3,155.16","3,157.97"
06/10/2021,"3,157.42","3,162.50","3,162.50","3,162.50"
06/09/2021,"3,167.01","3,169.08","3,153.47","3,153.47"
06/08/2021,"3,177.32","3,181.36","3,157.32","3,167.14"
06/07/2021,"3,169.69","3,179.78","3,165.76","3,175.81"
06/04/2021,"3,151.04","3,171.45","3,145.79","3,151.04"
06/03/2021,"3,168.80","3,177.10","3,159.60","3,165.00"
06/02/2021,"3,183.34","3,186.98","3,153.83","3,161.04"
06/01/2021,"3,176.71","3,188.00","3,162.65","3,187.23"
05/31/2021,"3,184.53","3,193.61","3,157.40","3,164.28"
05/28/2021,"3,183.57","3,178.55","3,178.55","3,178.55"
05/27/2021,"3,139.93","3,171.72","3,135.37","3,164.82"
05/25/2021,"3,132.27","3,149.39","3,132.22","3,146.09"
05/24/2021,"3,132.21","3,123.61","3,123.61","3,123.61"
05/21/2021,"3,126.75","3,117.89","3,117.89","3,117.89"
05/20/2021,"3,114.42","3,109.81","3,109.81","3,109.81"
05/19/2021,"3,124.95","3,133.12","3,100.95","3,104.21"
05/18/2021,"3,100.90","3,142.63","3,142.63","3,142.63"
05/17/2021,"3,079.69","3,087.20","3,027.38","3,079.69"
05/14/2021,"3,105.74","3,121.26","3,023.95","3,055.02"
05/12/2021,"3,126.50","3,142.60","3,115.75","3,123.26"
05/11/2021,"3,144.27","3,166.59","3,137.46","3,144.27"
05/10/2021,"3,203.85","3,206.24","3,177.60","3,182.41"
05/07/2021,"3,177.99","3,204.40","3,173.21","3,200.26"
05/06/2021,"3,173.00","3,178.24","3,157.88","3,173.00"
05/05/2021,"3,157.20","3,153.59","3,153.59","3,153.59"
05/04/2021,"3,183.08","3,186.00","3,168.56","3,179.13"
05/03/2021,"3,221.79","3,221.94","3,165.77","3,184.76"
04/30/2021,"3,218.90","3,218.27","3,218.27","3,218.27"
04/29/2021,"3,221.58","3,235.72","3,218.07","3,221.58"
04/28/2021,"3,219.56","3,220.27","3,205.50","3,219.56"
04/27/2021,"3,203.66","3,219.98","3,200.62","3,214.43"
04/26/2021,"3,187.72","3,211.54","3,183.37","3,204.90"
04/23/2021,"3,172.68","3,194.04","3,194.04","3,194.04"
04/22/2021,"3,171.78","3,187.78","3,187.78","3,187.78"
04/21/2021,"3,163.48","3,172.87","3,145.28","3,155.06"
04/20/2021,"3,207.99","3,211.00","3,187.40","3,192.17"
04/19/2021,"3,209.72","3,214.93","3,200.72","3,209.72"
04/16/2021,"3,184.65","3,203.56","3,184.31","3,201.76"
04/15/2021,"3,189.16","3,189.71","3,176.08","3,184.77"
04/14/2021,"3,188.41","3,179.39","3,179.39","3,179.39"
04/13/2021,"3,187.90","3,192.61","3,174.31","3,187.90"
04/12/2021,"3,175.73","3,182.30","3,160.76","3,173.93"
04/09/2021,"3,189.80","3,184.54","3,184.54","3,184.54"
04/08/2021,"3,186.40","3,201.83","3,184.54","3,186.40"
04/07/2021,"3,215.22","3,195.76","3,195.76","3,195.76"
04/06/2021,"3,219.68","3,207.63","3,207.63","3,207.63"
04/05/2021,"3,205.91","3,212.49","3,203.65","3,209.74"
04/01/2021,"3,187.17","3,188.45","3,170.22","3,181.68"
03/31/2021,"3,200.35","3,200.49","3,165.34","3,165.34"
03/30/2021,"3,201.63","3,204.24","3,187.92","3,190.89"
03/29/2021,"3,165.98","3,183.93","3,160.88","3,175.57"
